epoch,train_loss
1,0.0221
2,0.0034
3,0.0028
4,0.0025
5,0.0023
6,0.0023
7,0.0026
8,0.0028
9,0.0023
10,0.0025
11,0.0026
12,0.0025
13,0.0023
14,0.0023
15,0.0024
16,0.0056
17,0.0025
18,0.0022
19,0.0022
20,0.0027
21,0.0023
22,0.0024
23,0.0023
24,0.0022
25,0.0024
26,0.0024
27,0.0023
28,0.0023
29,0.0022
30,0.0022
31,0.0023
32,0.0026
33,0.0022
34,0.0023
35,0.0022
36,0.0022
37,0.0022
38,0.0022
39,0.0023
40,0.0028
41,0.0021
42,0.0021
43,0.0022
44,0.0020
45,0.0021
46,0.0023
47,0.0022
48,0.0021
49,0.0021
50,0.0021
51,0.0021
52,0.0020
53,0.0026
54,0.0021
55,0.0020
56,0.0020
57,0.0020
58,0.0020
59,0.0020
60,0.0020
61,0.0020
62,0.0020
63,0.0020
64,0.0020
65,0.0020
66,0.0020
67,0.0020
68,0.0019
69,0.0019
70,0.0019
71,0.0019
72,0.0019
73,0.0018
74,0.0020
75,0.0018
76,0.0019
77,0.0019
78,0.0018
79,0.0018
80,0.0019
81,0.0018
82,0.0020
83,0.0018
84,0.0019
85,0.0019
86,0.0019
87,0.0018
88,0.0018
89,0.0018
90,0.0018
91,0.0018
92,0.0019
93,0.0018
94,0.0018
95,0.0018
96,0.0018
97,0.0018
98,0.0018
99,0.0018
100,0.0017
101,0.0018
102,0.0018
103,0.0018
104,0.0018
105,0.0018
106,0.0017
107,0.0018
108,0.0018
109,0.0018
110,0.0017
111,0.0017
112,0.0017
113,0.0018
114,0.0019
115,0.0017
116,0.0017
117,0.0017
118,0.0017
119,0.0018
120,0.0018
121,0.0017
122,0.0017
123,0.0017
124,0.0017
125,0.0017
126,0.0018
127,0.0018
128,0.0017
129,0.0018
130,0.0017
131,0.0017
132,0.0017
133,0.0017
134,0.0017
135,0.0017
136,0.0017
137,0.0017
138,0.0017
139,0.0018
140,0.0017
141,0.0017
